"scenario","mp","stock","pBtGt.3B0","pBtGt.5B0","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgPonded_t","avgSOK_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","avgSOK_1000lbs"
"rw15_hiPondM","NoFish","Lou",0.97,0.71,0,NA,0,0,0,0,0,0,0,0,0
"rw15_hiPondM","cSOK_0.1HR_spatialMP","Lou",0.97,0.71,0,NA,0,0,0,0,0,0,0,0,0
"rw15_hiPondM","SR_0.1HR_spatialMP","Lou",0.97,0.71,0,NA,0,0,0,0,0,0,0,0,0
"rw15_hiPondM","cSOK+SR_0.1HR_spatialMP","Lou",0.97,0.71,0,NA,0,0,0,0,0,0,0,0,0
"rw15_hiPondM","oSOK_0.1HR_spatialMP","Lou",0.97,0.71,0,NA,0,0,0,0,0,0,0,0,0
"rw15_hiPondM","NoFish","aggregate",0.85,0.38,0,NA,0,0,0,0,0,0,0,0,0
"rw15_hiPondM","oSOK_0.1HR_spatialMP","aggregate",0.82,0.34,0,NA,7.7,6.7,714.2,48.9,20.1,0,0,0,107.806134146987
"rw15_hiPondM","cSOK_0.1HR_spatialMP","aggregate",0.81,0.33,0.058,0.11,7.3,6.6,695.5,47.6,20.3,0,0,0,104.940122400748
"rw15_hiPondM","SR_0.1HR_spatialMP","aggregate",0.81,0.31,0.203,0.15,0,0,0,0,0,4.6,1253,5.43,0
"rw15_hiPondM","cSOK+SR_0.1HR_spatialMP","aggregate",0.8,0.31,0.123,0.14,7.3,6.5,688.8,47.1,20.1,1.8,684,0,103.837810190656
"rw15_hiPondM","NoFish","JP/S",0.77,0.33,0,NA,0,0,0,0,0,0,0,0,0
"rw15_hiPondM","oSOK_0.1HR_spatialMP","JP/S",0.73,0.29,0,NA,5.3,9.3,988.1,67.6,103.6,0,0,0,149.032610804423
"rw15_hiPondM","cSOK_0.1HR_spatialMP","JP/S",0.71,0.28,0.134,0.13,5,9,958.1,65.5,106,0,0,0,144.402899522037
"rw15_hiPondM","cSOK+SR_0.1HR_spatialMP","JP/S",0.7,0.26,0.209,0.16,4.9,9,953.1,65.2,108.7,1.8,684,129.4,143.741512195982
