"simName","type","area","meanPropQ50","meanPropQ90","meanPropQ10","medianPropQ50","medianPropQ90","medianPropQ10","meanPropZeroQ50","meanPropZeroQ90","meanPropZeroQ10"
"logitRW","logitRW",1,0.495203882200687,0.579988623050838,0.439927408494057,0.507442467263655,0.585570622213803,0.425621863515878,0,0,0
"logitRW","logitRW",2,0.434368983479467,0.467725995618725,0.413564503487481,0.474504145858861,0.505024026466936,0.445483541582981,0,0,0
"logitRW","binom",3,0.28125,0.375,0.1875,0,0,0,0.71875,0.8125,0.625
"logitRWsd1","logitRW",1,0.490013711632574,0.618104275739921,0.401506209012476,0.512833541637736,0.649236963118113,0.367705420305323,0,0,0
"logitRWsd1","logitRW",2,0.428593691110524,0.611421188435136,0.301321248390062,0.429674639777103,0.650386068904372,0.238565016138681,0,0,0
"logitRWsd1","binom",3,0.28125,0.375,0.1875,0,0,0,0.71875,0.8125,0.625
"binomXlogitRW","binomXlogitRW",1,0.264683586997197,0.317595919444181,0.198946774182398,0.40666183658647,0.462048427839719,0,0.46875,0.59375,0.375
"binomXlogitRW","binomXlogitRW",2,0.241697324934386,0.295573795446442,0.177074035441489,0.197522590786941,0.408952028304476,0,0.46875,0.59375,0.375
"binomXlogitRW","binom",3,0.28125,0.375,0.1875,0,0,0,0.71875,0.8125,0.625
"binomXlogitRWsd1","binomXlogitRW",1,0.267115331179099,0.325075244806105,0.196775923770836,0.297560487995785,0.414493491355677,0,0.46875,0.59375,0.375
"binomXlogitRWsd1","binomXlogitRW",2,0.242965483952397,0.305873496155242,0.167834456580204,0.170070594882252,0.354742851228365,0,0.46875,0.59375,0.375
"binomXlogitRWsd1","binom",3,0.28125,0.375,0.1875,0,0,0,0.71875,0.8125,0.625
"binomXbeta","binomXbeta",1,0.177845106590956,0.2491973082837,0.123427454723379,0.00314237969720439,0.0612578027082452,0,0.46875,0.59375,0.375
"binomXbeta","binomXbeta",2,0.117787014753333,0.184380174574111,0.0738370042266367,4.73583653859155e-05,0.00536767694087239,0,0.46875,0.565625,0.375
"binomXbeta","binom",3,0.28125,0.375,0.1875,0,0,0,0.71875,0.8125,0.625
