,histFolder,totLike,scenName
1,fit_parBatHGherringMCMC1,318.4336355,a1Mmean_sr0.67_identM
2,fit_parBatHGherringMCMC2,319.5974677,a1M1.25_sr0.67_identM
3,fit_parBatHGherringMCMC3,318.9082253,a1M1.64_sr0.67_identM
4,fit_parBatHGherringMCMC4,319.7364052,a1Mmean_sr0.5_identM
5,fit_parBatHGherringMCMC5,320.431589,a1M1.25_sr0.5_identM
6,fit_parBatHGherringMCMC6,324.9809888,a1M1.64_sr0.5_identM
7,fit_parBatHGherringMCMC7,318.1716927,a1Mmean_sr0.8_identM
8,fit_parBatHGherringMCMC8,319.2166081,a1M1.25_sr0.8_identM
9,fit_parBatHGherringMCMC9,318.507727,a1M1.64_sr0.8_identM
10,fit_parBatHGherringMCMC10,284.7131769,a1Mmean_sr0.67_diffM
11,fit_parBatHGherringMCMC11,287.7933158,a1M1.25_sr0.67_diffM
12,fit_parBatHGherringMCMC12,289.7944274,a1M1.64_sr0.67_diffM
13,fit_parBatHGherringMCMC13,288.8878363,a1Mmean_sr0.5_diffM
14,fit_parBatHGherringMCMC14,291.5059079,a1M1.25_sr0.5_diffM
15,fit_parBatHGherringMCMC15,293.6986159,a1M1.64_sr0.5_diffM
16,fit_parBatHGherringMCMC16,283.4791728,a1Mmean_sr0.8_diffM
17,fit_parBatHGherringMCMC17,285.4525358,a1M1.25_sr0.8_diffM
18,fit_parBatHGherringMCMC18,285.597142,a1M1.64_sr0.8_diffM
