"","RP","$P(B_t \geq .3B_0)$","$P(B_t \geq .5B_0)$","$\Gamma(2019,2024)$","$\Gamma(2019,2029)$","$\Gamma(2019,2034)$","$B_{2034}$"
"1","NoFish",0.85,0.61,15.2,10.4,7.4,2.9
"2","oSOK\_HS30-100\_HR0.1",0.85,0.61,15.2,10.4,7.4,2.9
"3","cSOK\_HS30-100\_HR0.1",0.85,0.61,15.1,10.3,7.4,2.9
"4","cSOK+SR\_HS30-100\_HR0.1",0.85,0.61,15.1,10.3,7.4,2.9
"5","SR\_HS30-100\_HR0.1",0.85,0.61,15.2,10.4,7.4,2.9
"6","NoFish",0.93,0.72,10.5,9.1,5.2,14.6
"7","oSOK\_HS30-100\_HR0.1",0.93,0.72,10.5,9.1,5.1,14.6
"8","cSOK\_HS30-100\_HR0.1",0.93,0.72,10.5,9.1,5,14.4
"9","cSOK+SR\_HS30-100\_HR0.1",0.93,0.7,10,8.5,4.9,13.8
"10","SR\_HS30-100\_HR0.1",0.92,0.69,10,8.4,4.8,13.5
"11","NoFish",0.98,0.89,2.2,1.2,1,1.9
"12","oSOK\_HS30-100\_HR0.1",0.98,0.89,2.2,1.2,1,1.9
"13","cSOK\_HS30-100\_HR0.1",0.98,0.89,1.8,1.1,0.9,1.8
"14","cSOK+SR\_HS30-100\_HR0.1",0.98,0.89,1.8,1.1,0.9,1.8
"15","SR\_HS30-100\_HR0.1",0.98,0.89,2.2,1.2,1,1.9
