"","RP","$N_{SOK}$","$\bar{L}_{SOK}$","$\bar{K}$","$\bar{P}$","$AAV(P_t)$","$N_{SR}$","$\bar{C}$","$AAV(C_t)$","$P(U_t > .1)$","$mean(U_t \vert U_t > .1)$"
"1","NoFish",0,0,0,0,0,0,0,0,0,NA
"2","oSOK\_HS30-100\_HR0.1",4,1,16.1,105.5,100.8,0,0,0,0.001,0.11
"3","cSOK\_HS30-100\_HR0.1",2,1,16.1,105.2,133.7,0,0,0,0.001,0.11
"4","cSOK+SR\_HS30-100\_HR0.1",2,1,16.1,105.2,133.7,0,0,0,0.001,0.11
"5","SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0,NA
"6","NoFish",0,0,0,0,0,0,0,0,0,NA
"7","oSOK\_HS30-100\_HR0.1",5,7.7,123,813.5,115.3,0,0,0,0.023,0.12
"8","cSOK\_HS30-100\_HR0.1",4,6.3,100.8,661.5,131.3,0,0,0,0.011,0.12
"9","cSOK+SR\_HS30-100\_HR0.1",4,6.2,98.8,650.7,129.6,1,1175.1,128.9,0.09,0.18
"10","SR\_HS30-100\_HR0.1",0,0,0,0,0,3,1221,147,0.081,0.18
"11","NoFish",0,0,0,0,0,0,0,0,0,NA
"12","oSOK\_HS30-100\_HR0.1",5,1,16.1,106,117.3,0,0,0,0.023,0.12
"13","cSOK\_HS30-100\_HR0.1",3,1,16.1,105.9,126.2,0,0,0,0.008,0.12
"14","cSOK+SR\_HS30-100\_HR0.1",3,1,16.1,105.9,126.2,0,0,0,0.008,0.12
"15","SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0,NA
