"","RP","$N_{SOK}$","$\bar{L}_{SOK}$","$\bar{K}$","$\bar{P}$","$AAV(P_t)$","$N_{SR}$","$\bar{C}$","$AAV(C_t)$","$P(U_t > .1)$","$mean(U_t \vert U_t > .1)$"
"1","NoFish",0,0,0,0,0,0,0,0,0,NA
"2","oSOK\_HS30-100\_HR0.1",2.458,0.903,6.589,95.053,88.606,0,0,0,0.002,NA
"3","cSOK\_HS30-100\_HR0.1",1.444,0.819,5.981,86.014,84.474,0,0,0,0.001,NA
"4","cSOK+SR\_HS30-100\_HR0.1",1.444,0.819,5.981,86.014,84.474,0,0,0,0.001,NA
"5","SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0,NA
"6","NoFish",0,0,0,0,0,0,0,0,0,NA
"7","oSOK\_HS30-100\_HR0.1",3.167,6.425,46.564,676.381,110.706,0,0,0,0.029,0.122
"8","cSOK\_HS30-100\_HR0.1",2.632,4.664,33.828,491,113.111,0,0,0,0.014,0.119
"9","cSOK+SR\_HS30-100\_HR0.1",2.59,4.621,33.568,486.882,114.224,0.514,389.708,57.733,0.061,0.182
"10","SR\_HS30-100\_HR0.1",0,0,0,0,0,1.625,782.069,110.497,0.058,0.18
"11","NoFish",0,0,0,0,0,0,0,0,0,NA
"12","oSOK\_HS30-100\_HR0.1",4.222,0.944,6.894,100.267,104.689,0,0,0,0.024,0.12
"13","cSOK\_HS30-100\_HR0.1",2.819,0.917,6.692,97.096,100.856,0,0,0,0.01,0.117
"14","cSOK+SR\_HS30-100\_HR0.1",2.819,0.917,6.692,97.096,100.856,0,0,0,0.01,0.117
"15","SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0,NA
