"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pBtGtB0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","B7585","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"1","sim_parBatHGHerringGrid_Nov3_1","a1Mmean_sr0.67_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.757,0.488,0.375,0.149,NA,0.001,0.12,2,1,7.3,105.1,133.5,0,0,0,0.023,0.145,0.057,0.056,0.055,4.053,8.701,2.133,0.505,1.662,0.403,3.234,0.783
"2","sim_parBatHGHerringGrid_Nov3_1","a1Mmean_sr0.67_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.841,0.527,0.393,0.112,NA,0.016,0.12,3,5.9,43,623.9,134.9,0,0,0,0.002,0.039,0.048,0.058,0.042,18.172,53.122,8.305,0.456,7.621,0.422,13.92,0.761
"3","sim_parBatHGHerringGrid_Nov3_1","a1Mmean_sr0.67_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.874,0.631,0.517,0.221,NA,0.009,0.12,2,1,7.3,105.8,121.2,0,0,0,0.023,0.133,0.064,0.046,0.053,1.911,5.008,1.131,0.589,0.897,0.467,1.865,0.983
"4","sim_parBatHGHerringGrid_Nov3_1","a1Mmean_sr0.67_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.909,0.588,0.425,0.088,0,0.004,0.11,6,4,29,420.1,120.7,0,0,0,0,0.033,0.051,0.062,0.043,24.136,66.831,11.569,0.475,10.18,0.421,19.018,0.784
"5","sim_parBatHGHerringGrid_Nov3_10","a1M1.25_sr0.67_identM_rw15_loPondM","NoFish","HG Herring","C/S",1,100,0,1,0.445,0.189,0.124,0.023,NA,0,NA,0,0,0,0,0,0,0,0,0.022,0.161,0.051,0.052,0.047,7.431,8.802,1.952,0.262,1.588,0.21,3.327,0.442
"6","sim_parBatHGHerringGrid_Nov3_10","a1M1.25_sr0.67_identM_rw15_loPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.304,0.111,0.053,0.011,NA,0,NA,0,0,0,0,0,0,0,0,0.002,0.037,0.033,0.052,0.042,35.934,55.18,7.483,0.208,6.941,0.193,12.892,0.356
"7","sim_parBatHGHerringGrid_Nov3_10","a1M1.25_sr0.67_identM_rw15_loPondM","NoFish","HG Herring","Lou",1,100,0,1,0.429,0.157,0.092,0.019,NA,0,NA,0,0,0,0,0,0,0,0,0.019,0.123,0.065,0.042,0.059,4.094,5.069,1.033,0.244,0.823,0.197,1.825,0.442
"8","sim_parBatHGHerringGrid_Nov3_10","a1M1.25_sr0.67_identM_rw15_loPondM","NoFish","HG Herring","aggregate",1,100,0,1,0.373,0.095,0.049,0.005,0,0,NA,0,0,0,0,0,0,0,0,0.001,0.034,0.039,0.051,0.05,47.459,69.052,10.468,0.22,9.351,0.196,18.043,0.379
"9","sim_parBatHGHerringGrid_Nov3_100","a1M1.25_sr0.67_identM_rw5_loPondM","NoFish","HG Herring","C/S",1,100,0,1,0.589,0.283,0.201,0.045,NA,0,NA,0,0,0,0,0,0,0,0,0.041,0.237,0.111,0.093,0.052,7.431,8.802,2.002,0.269,1.588,0.21,3.786,0.504
"10","sim_parBatHGHerringGrid_Nov3_100","a1M1.25_sr0.67_identM_rw5_loPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.469,0.167,0.107,0.018,NA,0,NA,0,0,0,0,0,0,0,0,0.006,0.056,0.073,0.085,0.055,35.934,55.18,7.641,0.213,6.941,0.193,14.738,0.407
