"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"1","sim_parBatHGherringGrid1","a1Mmean_sr0.67_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.783,0.521,0.421,NA,0,NA,5,1,7.3,105.7,101.2,0,0,0,0.021,0.173,0.051,0.048,0.045,4.014,2.075,0.529,1.675,0.421,3.25,0.816
"2","sim_parBatHGherringGrid1","a1Mmean_sr0.67_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.803,0.515,0.385,NA,0.001,0.12,9,6.4,46.5,677,94.7,0,0,0,0.003,0.037,0.035,0.055,0.052,17.841,7.978,0.451,7.396,0.42,13.541,0.767
"3","sim_parBatHGherringGrid1","a1Mmean_sr0.67_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.851,0.64,0.522,NA,0,NA,4,1,7.3,106.3,125,0,0,0,0.017,0.122,0.049,0.045,0.049,1.923,1.077,0.557,0.874,0.452,1.812,0.958
"4","sim_parBatHGherringGrid1","a1Mmean_sr0.67_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.878,0.561,0.423,0,0,NA,12,5.5,39.7,576.9,82.8,0,0,0,0.002,0.033,0.048,0.055,0.046,23.778,11.13,0.471,9.945,0.422,18.604,0.788
"5","sim_parBatHGherringGrid10","a1M1.25_sr0.67_identM_rw15_loPondM","NoFish","HG Herring","C/S",1,100,0,1,0.435,0.177,0.121,NA,0,NA,0,0,0,0,0,0,0,0,0.023,0.145,0.058,0.052,0.052,7.14,1.912,0.265,1.51,0.209,3.243,0.445
"6","sim_parBatHGherringGrid10","a1M1.25_sr0.67_identM_rw15_loPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.309,0.085,0.052,NA,0,NA,0,0,0,0,0,0,0,0,0.001,0.025,0.025,0.051,0.044,35.734,7.192,0.205,6.771,0.194,12.756,0.354
"7","sim_parBatHGherringGrid10","a1M1.25_sr0.67_identM_rw15_loPondM","NoFish","HG Herring","Lou",1,100,0,1,0.481,0.159,0.096,NA,0,NA,0,0,0,0,0,0,0,0,0.02,0.124,0.058,0.053,0.052,4.028,1.081,0.259,0.844,0.207,1.893,0.458
"8","sim_parBatHGherringGrid10","a1M1.25_sr0.67_identM_rw15_loPondM","NoFish","HG Herring","aggregate",1,100,0,1,0.368,0.077,0.037,0,0,NA,0,0,0,0,0,0,0,0,0,0.021,0.036,0.051,0.047,46.902,10.185,0.219,9.126,0.197,17.892,0.38
"9","sim_parBatHGherringGrid100","a1M1.25_sr0.67_identM_rw5_loPondM","NoFish","HG Herring","C/S",1,100,0,1,0.57,0.275,0.183,NA,0,NA,0,0,0,0,0,0,0,0,0.037,0.209,0.111,0.087,0.063,7.14,1.956,0.271,1.51,0.209,3.639,0.501
"10","sim_parBatHGherringGrid100","a1M1.25_sr0.67_identM_rw5_loPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.447,0.168,0.099,NA,0,NA,0,0,0,0,0,0,0,0,0.003,0.053,0.084,0.081,0.057,35.734,7.349,0.21,6.771,0.194,14.512,0.404
