"","Scenario","$P(B_t \geq .3B_0)$","$P(B_t \geq .5B_0)$","$\Gamma(2019,2024)$","$\Gamma(2019,2029)$","$\Gamma(2019,2034)$","$B_0$","$B_{2019}$","$B_{2019}/B_0$","$B_{2034}$","$B_{2034}/B_0$"
"1","a1M1.64\_sr0.5\_identM\_rw5",0.008,0.001,-0.003,0.018,0.017,117.366,7.676,0.067,11.066,0.093
"2","a1M1.64\_sr0.5\_diffM\_rw5",0.019,0.002,0.004,0.03,0.028,87.922,7.255,0.085,10.95,0.126
"3","a1M1.64\_sr0.67\_identM\_rw5",0.097,0.007,0.065,0.067,0.048,81.731,8.765,0.107,18.341,0.224
"4","a1M1.64\_sr0.67\_diffM\_rw5",0.195,0.028,0.083,0.069,0.051,72.442,9.375,0.131,20.048,0.273
"5","a1M1.25\_sr0.5\_identM\_rw5",0.217,0.045,0.056,0.063,0.042,56.438,8.144,0.144,16.399,0.287
"6","a1M1.64\_sr0.8\_identM\_rw5",0.252,0.038,0.103,0.089,0.058,67.544,8.83,0.132,19.799,0.292
"7","a1M1.25\_sr0.5\_diffM\_rw5",0.354,0.089,0.032,0.049,0.046,50.432,8.819,0.18,17.698,0.35
"8","a1M1.64\_sr0.8\_diffM\_rw5",0.392,0.08,0.101,0.081,0.055,61.806,10.148,0.165,21.26,0.343
"9","a1M1.25\_sr0.67\_identM\_rw5",0.549,0.169,0.091,0.081,0.06,47.459,9.351,0.196,20.563,0.432
"10","a1M1.25\_sr0.67\_diffM\_rw5",0.623,0.224,0.079,0.08,0.05,42.608,9.928,0.233,20.611,0.483
"11","a1M1.25\_sr0.8\_identM\_rw5",0.699,0.26,0.115,0.088,0.054,42.903,9.826,0.232,20.56,0.48
"12","a1M1.25\_sr0.8\_diffM\_rw5",0.79,0.357,0.101,0.083,0.05,39.64,10.597,0.269,21.805,0.546
"13","a1Mmean\_sr0.5\_identM\_rw5",0.887,0.576,0.08,0.088,0.056,24.984,8.829,0.357,19.052,0.766
"14","a1Mmean\_sr0.5\_diffM\_rw5",0.895,0.636,0.076,0.075,0.05,23.624,9.249,0.392,19.678,0.83
"15","a1Mmean\_sr0.67\_identM\_rw5",0.955,0.735,0.104,0.083,0.052,24.136,10.18,0.421,20.924,0.863
"16","a1Mmean\_sr0.8\_identM\_rw5",0.963,0.799,0.111,0.085,0.051,23.666,10.51,0.448,20.971,0.889
"17","a1Mmean\_sr0.67\_diffM\_rw5",0.964,0.781,0.1,0.08,0.053,23.236,10.618,0.459,21.458,0.93
"18","a1Mmean\_sr0.8\_diffM\_rw5",0.979,0.82,0.099,0.077,0.05,20.698,10.072,0.482,19.336,0.935
