"","Scenario","$P(B_t \geq .3B_0)$","$P(B_t \geq .5B_0)$","$\Gamma(2019,2024)$","$\Gamma(2019,2029)$","$\Gamma(2019,2034)$","$B_0$","$B_{2019}$","$B_{2019}/B_0$","$B_{2034}$","$B_{2034}/B_0$"
"1","a1M1.64\_sr0.5\_identM\_rw15",0.002,0,-5.6,-1.7,-0.6,117.4,7.7,0.07,8,0.07
"2","a1M1.64\_sr0.5\_diffM\_rw15",0.015,0.001,-4.2,-1.3,0.2,87.9,7.3,0.09,8.2,0.1
"3","a1M1.64\_sr0.67\_identM\_rw15",0.035,0.002,1.8,3.7,3.7,81.7,8.8,0.11,15.3,0.19
"4","a1M1.25\_sr0.5\_identM\_rw15",0.107,0.02,-0.4,2,2.4,56.4,8.1,0.14,12.8,0.22
"5","a1M1.64\_sr0.67\_diffM\_rw15",0.123,0.012,3.3,3.9,3.6,72.4,9.4,0.13,16.7,0.23
"6","a1M1.64\_sr0.8\_identM\_rw15",0.141,0.019,3.6,5,5,67.5,8.8,0.13,17.6,0.26
"7","a1M1.25\_sr0.5\_diffM\_rw15",0.227,0.051,-0.2,0.7,3,50.4,8.8,0.18,13.9,0.28
"8","a1M1.64\_sr0.8\_diffM\_rw15",0.253,0.049,4.5,5.8,4.7,61.8,10.1,0.16,19.3,0.31
"9","a1M1.25\_sr0.67\_identM\_rw15",0.373,0.095,3.9,5.1,5,47.5,9.4,0.2,18,0.38
"10","a1M1.25\_sr0.67\_diffM\_rw15",0.438,0.119,2.1,4.2,4.1,42.6,9.9,0.23,17.8,0.42
"11","a1M1.25\_sr0.8\_identM\_rw15",0.508,0.141,4.4,6,4.7,42.9,9.8,0.23,18.8,0.44
"12","a1M1.25\_sr0.8\_diffM\_rw15",0.643,0.225,5.3,5.5,4.4,39.6,10.6,0.27,20.2,0.5
"13","a1Mmean\_sr0.5\_identM\_rw15",0.75,0.381,3.3,4.6,4.6,25,8.8,0.36,16,0.64
"14","a1Mmean\_sr0.5\_diffM\_rw15",0.789,0.449,2.8,4.1,3.9,23.6,9.2,0.39,16.5,0.7
"15","a1Mmean\_sr0.67\_identM\_rw15",0.911,0.591,5.4,6.2,4.4,24.1,10.2,0.42,19.2,0.79
"16","a1Mmean\_sr0.67\_diffM\_rw15",0.914,0.615,4.9,5,4.3,23.2,10.6,0.46,19.6,0.85
"17","a1Mmean\_sr0.8\_identM\_rw15",0.923,0.614,5.6,5.4,4.7,23.7,10.5,0.45,19.5,0.83
"18","a1Mmean\_sr0.8\_diffM\_rw15",0.938,0.682,4.6,5.9,4.5,20.7,10.1,0.48,18.1,0.87
