"","RP","$P(B_t \geq 0.3 B_0)$","$P(B_t \geq 0.5 B_0)$","$P(B_t \geq B_0)$","$P(B_t \geq 0.5 B_{1975:1985})$","$P(B_t \geq B_{1975:1985})$","$\Gamma(2019,2024)$","$\Gamma(2019,2029)$","$\Gamma(2019,2034)$","$B_{2034}$"
"1","NoFish",0.041,0.011,0,0.1,0.03,-3.6,-1.5,1,2
"2","oSOK\_HS30-100\_HR0.1",0.04,0.011,0,0.1,0.03,-3.6,-1.6,1,2
"3","cSOK\_HS30-100\_HR0.1",0.039,0.011,0,0.1,0.03,-3.6,-1.5,0.9,2
"4","cSOK+SR\_HS30-100\_HR0.1",0.039,0.011,0,0.1,0.03,-3.6,-1.5,0.9,2
"5","SR\_HS30-100\_HR0.1",0.041,0.011,0,0.1,0.03,-3.6,-1.5,1,2
"6","NoFish",0.001,0,0,0.01,0,-7.8,-5.1,-2,5.1
"7","oSOK\_HS30-100\_HR0.1",0.001,0,0,0.01,0,-7.8,-5.1,-2,5
"8","cSOK\_HS30-100\_HR0.1",0.001,0,0,0.01,0,-7.8,-5.1,-2,5
"9","cSOK+SR\_HS30-100\_HR0.1",0.001,0,0,0,0,-7.8,-5.1,-2.2,4.9
"10","SR\_HS30-100\_HR0.1",0.001,0,0,0,0,-7.8,-5.1,-2.2,4.8
"11","NoFish",0.025,0.004,0,0.03,0.01,0.7,0.9,1.9,0.8
"12","oSOK\_HS30-100\_HR0.1",0.024,0.004,0,0.03,0.01,0.7,0.8,1.9,0.8
"13","cSOK\_HS30-100\_HR0.1",0.023,0.004,0,0.03,0.01,0.7,0.8,1.9,0.8
"14","cSOK+SR\_HS30-100\_HR0.1",0.023,0.004,0,0.03,0.01,0.7,0.8,1.9,0.8
"15","SR\_HS30-100\_HR0.1",0.025,0.004,0,0.03,0.01,0.7,0.9,1.9,0.8
