"","RP","$N_{SOK}$","$\bar{L}_{SOK}$","$\bar{K}$","$\bar{P}$","$AAV(P_t)$","$N_{SR}$","$\bar{C}$","$AAV(C_t)$","$P(U_t > .1)$","$mean(U_t \vert U_t > .1)$"
"1","NoFish",0,0,0,0,0,0,0,0,0,NA
"2","oSOK\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.001,0.12
"3","cSOK\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.001,0.11
"4","cSOK+SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.001,0.11
"5","SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0,NA
"6","NoFish",0,0,0,0,0,0,0,0,0,NA
"7","oSOK\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.025,0.15
"8","cSOK\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.011,0.12
"9","cSOK+SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.019,0.16
"10","SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.017,0.17
"11","NoFish",0,0,0,0,0,0,0,0,0,NA
"12","oSOK\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.014,0.12
"13","cSOK\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.007,0.12
"14","cSOK+SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.007,0.12
"15","SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0,NA
