"","species","stock","Xmsy","Xmey","noCorr.totCat","noCorr.totProfit","var"
"1","Dover","HSHG",0.205,0.122,0.215,0.078,"Ut"
"2","English","HSHG",0.375,0.213,0.392,0.132,"Ut"
"3","Rock","HSHG",0.368,0.216,0.386,0.138,"Ut"
"4","Dover","QCS",0.211,0.138,0.218,0.105,"Ut"
"5","English","QCS",0.364,0.228,0.375,0.17,"Ut"
"6","Rock","QCS",0.38,0.238,0.39,0.178,"Ut"
"7","Dover","WCVI",0.316,0.195,0.33,0.157,"Ut"
"8","English","WCVI",0.427,0.247,0.446,0.194,"Ut"
"9","Rock","WCVI",0.277,0.16,0.289,0.126,"Ut"
"10","DER","BC",NA,NA,NA,NA,"Ut"
