Year,Dover,English,Rock
1956,43.38552566,203.3150918,207.3568
1957,55.84860097,65.61752342,232.1691747
1958,45.90242456,97.86402184,327.5779221
1959,10.65643413,143.6296087,90.38340058
1960,9.159336992,141.1994102,293.3792198
1961,9.25747654,165.8308578,253.0555596
1962,18.96098379,103.0333797,175.198962
1963,5.713121561,61.67992172,151.9558825
1964,26.4238364,71.06518393,171.7729752
1965,5.863338977,46.39751583,169.6845363
1966,14.98193794,48.24884327,322.3198366
1967,1.033484959,104.3071117,374.5088858
1968,7.762961483,62.96728003,235.3310108
1969,44.59936489,100.1962776,195.4939246
1970,118.7584596,129.3579293,112.9495014
1971,94.89240366,58.59930933,106.6366705
1972,117.3841683,60.87606206,83.25930682
1973,132.0411642,109.0407038,69.73832482
1974,142.2448318,123.3166383,137.623993
1975,105.8832959,146.4226883,151.8164664
1976,63.04184185,93.23541597,193.3044125
1977,54.15704246,96.48112691,81.7157536
1978,42.45678193,74.36523328,98.6938943
1979,55.27627054,79.57094026,85.38819057
1980,45.61308369,102.5508414,64.17516926
1981,72.57738249,104.8635921,58.39599958
1982,78.68912376,76.98290269,50.62077518
1983,95.41218102,85.1037457,65.17788549
1984,94.23124345,105.3803774,29.99125902
1985,80.52113772,78.12519379,23.40284646
1986,102.8324478,97.57451081,59.00129893
1987,43.04998351,93.94316482,60.65801721
1988,45.20199864,104.9097001,127.0761239
1989,58.53316882,84.85257166,116.129837
1990,39.07402836,98.49784816,101.9572288
1991,19.22985208,70.80598221,128.7676685
1992,46.45809498,76.43552912,105.7730993
1993,61.21590551,74.4553302,100.462267
1994,71.19879246,83.70824,87.19706877
1995,74.1086088,88.50637289,94.97913713
1996,105.5435871,112.9820614,75.32119593
1997,88.04750452,126.1155814,76.96976742
1998,118.39213,102.2541327,86.81523228
1999,111.3352913,111.4651771,94.67438786
2000,108.7675509,91.57474934,105.5081695
2001,138.7189112,101.9527439,120.9791607
2002,149.4393214,117.424787,120.3721866
2003,151.4896775,144.6780407,152.0253396
2004,149.3692676,167.7730183,169.9096651
2005,126.4408581,184.2056604,98.60816243
2006,172.3851442,172.9240426,198.173294
2007,160.833666,153.9211378,196.3007745
2008,229.9116669,181.1291164,148.5556382
2009,128.7700358,194.7991772,223.6932797
2010,158.1782652,105.9729728,157.5427266
2011,150.0215615,150.5806437,159.9478133
2012,160.3300845,165.6622851,118.4523252
2013,157.4162782,115.1354755,129.9182077
2014,134.3747701,172.0934977,162.8461688
2015,92.32716166,153.2454843,158.2879845
2016,105.2356404,191.9643919,103.797952
2017,116.849154,241.3502025,99.85762455
