Year,Dover,English,Rock
1956,1.251208651,4.62567683,170.196827
1957,0.597958079,6.443971156,137.10572
1958,0.017429361,5.295138901,161.3795038
1959,1.071406371,8.850758453,124.0361811
1960,6.666115603,10.686402,141.532119
1961,3.39521952,6.140661289,119.9971389
1962,2.493032708,8.202953156,97.84236457
1963,6.017435245,4.50394867,95.97928479
1964,6.202290702,1.795140769,78.2617983
1965,14.05205558,1.873425861,83.96954674
1966,9.231351607,1.643869568,98.91237728
1967,6.446568307,2.120420057,91.3084059
1968,9.849748919,0.241753953,108.445564
1969,4.662573672,0.483416902,51.72856777
1970,14.0204881,0.566398333,49.18679871
1971,11.35567358,2.17633383,65.68168956
1972,9.50474071,0.497228869,49.76111001
1973,8.804319141,0.893056184,41.32856145
1974,12.8185524,1.239111736,43.30982101
1975,7.539893227,1.36902402,44.3572102
1976,4.520816996,0.474759448,44.85885416
1977,2.824599792,4.157532564,40.07827036
1978,7.594776831,3.049962025,29.72598696
1979,10.6485201,5.828811714,30.26414693
1980,7.654867355,7.312945945,55.14353275
1981,5.560526153,17.0757636,41.43756041
1982,7.763605632,4.317413221,53.02600248
1983,9.016573481,3.247942637,47.13692125
1984,7.01989772,2.391977286,23.52519151
1985,4.398814335,3.383683552,21.94113047
1986,13.67301335,2.804253519,16.79616459
1987,4.806457946,4.188636916,24.25525374
1988,11.08289684,8.358589848,29.26962096
1989,9.728184977,4.163834982,22.770932
1990,7.022899211,5.498121179,21.68055069
1991,14.25314065,5.279682157,36.12463639
1992,18.85670094,5.431339289,34.87194382
1993,24.34061026,7.958384014,32.77891371
1994,46.43629147,6.44661254,30.48150735
1995,34.6747982,5.568128244,21.5238077
1996,45.97026009,3.740231529,27.88037244
1997,52.27765945,8.276332889,24.35374609
1998,52.78369713,9.594157697,26.64919672
1999,53.50598472,8.340875739,28.25060762
2000,63.3867841,8.183556151,38.18954088
2001,64.60645848,9.376773509,46.99680711
2002,57.84710708,10.98423046,62.19453572
2003,48.37205994,9.38396073,61.3641524
2004,52.45699574,10.31813145,53.97078968
2005,45.07008687,11.98594871,48.24756169
2006,53.26082145,7.998133215,43.0352868
2007,32.93344626,5.714534182,25.72461308
2008,26.06096158,4.655048589,16.98020725
2009,30.76265153,8.461626167,36.40726113
2010,29.86086571,8.297760953,75.92312098
2011,23.19379717,6.667512318,69.35552001
2012,42.9383105,5.331024501,76.14738126
2013,37.66242456,5.009087477,40.9654208
2014,31.43910568,4.872751243,50.07269615
2015,28.40022511,6.991660549,29.01025157
2016,36.47399828,5.660824045,38.4751319
2017,46.21556687,4.015014591,19.15606512
