Year,Dover,English,Rock
1956,0.813585979,3.915339179,10.54258919
1957,4.319183613,1.364457088,16.82329391
1958,5.487186478,1.905286802,19.23020924
1959,4.005304929,1.852327337,19.01230618
1960,1.597962963,2.293817285,10.23947738
1961,3.77004812,2.744928961,11.44306585
1962,0.392696629,1.658318906,22.62872729
1963,4.466446125,3.340256524,18.09622737
1964,7.535273347,1.366218226,19.25029143
1965,7.860227851,2.651759172,18.73180002
1966,0.084586367,2.537601413,29.41676159
1967,1.366666667,3.370663716,29.12814931
1968,0.479064778,2.94362593,24.82958822
1969,1.929187626,2.475082047,26.09681821
1970,18.26325902,1.764153426,24.91064982
1971,12.831213,3.73822081,16.05251048
1972,1.605953809,3.486165746,17.70305129
1973,0.260199918,1.75850044,27.53701085
1974,2.277971201,10.41495677,47.09086403
1975,1.148682917,8.469029637,25.88850316
1976,3.015852649,8.73704184,38.52891172
1977,10.84262962,17.92275948,24.80231475
1978,10.42972723,16.43081804,19.87137482
1979,8.936974417,20.24163999,26.03446561
1980,35.48404624,14.62072136,17.49775117
1981,45.94503061,14.02130959,24.99394023
1982,35.42017356,10.01826238,20.73816248
1983,26.88936557,10.12605542,19.07980278
1984,12.87222422,9.238892603,13.08396659
1985,5.40069541,5.453027024,5.137664298
1986,6.051156134,8.959584248,6.635008763
1987,4.945636006,3.637611583,5.263064022
1988,21.97569637,7.120928143,10.63760456
1989,24.37495028,8.285988684,17.97602123
1990,33.34707945,7.42596467,10.79105272
1991,27.42711799,6.73040831,6.077784391
1992,39.50572403,7.220431972,8.033747265
1993,51.98666772,5.902416576,7.129321808
1994,51.96893457,6.256217891,9.503680133
1995,48.71769652,5.090420769,8.266723619
1996,83.85001724,3.367426158,0.944060388
1997,75.08826572,3.936042095,0.787829966
1998,89.72313336,6.499363473,2.84650475
1999,104.1844454,8.116875509,4.489948353
2000,104.1417702,7.580594731,9.502612661
2001,85.69170578,8.705262669,6.258192734
2002,121.0287412,13.04200766,6.889170131
2003,141.1726791,16.76685287,7.283870652
2004,143.8558164,18.89927226,9.343609784
2005,130.6188831,21.09450258,6.12963909
2006,135.4454151,11.43410923,1.873854935
2007,92.84006321,13.18336067,2.445144199
2008,105.6287102,7.2137841,1.455508322
2009,88.46798381,11.8805076,8.622853661
2010,98.7601155,13.85297663,5.053594701
2011,141.7259623,14.99588199,11.73341822
2012,147.999437,14.4495819,9.775357386
2013,132.0539084,19.06610215,11.234334
2014,125.9480926,12.9282521,18.82446223
2015,122.5283837,15.25007178,5.116370024
2016,132.3102533,22.54874115,15.99865423
2017,89.41117554,14.70329017,3.503637911
