"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",545.624851322359,6.5710221633708e-05,3,0,"relative convergence (4)",0.00671666666666511
"2","2",544.574863686472,8.83944201870435e-05,13,0,"relative convergence (4)",0.00424999999999992
"3","3",472.794010202005,7.25501910144311e-05,81,0,"relative convergence (4)",0.00446666666666715
"4","4",266.292661831327,0.000149262077025467,146,0,"relative convergence (4)",0.00661666666666558
"5","5",266.292661828615,7.49771273287347e-05,146,0,"relative convergence (4)",0.00419999999999921
"6","6",260.415691346401,0.00129263843673866,150,0,"relative convergence (4)",0.00670000000000073
"7","7",258.519703787127,0.000593149109941266,153,0,"relative convergence (4)",0.00745000000000005
"8","8",166.280864519381,0.00101049374822493,154,0,"relative convergence (4)",0.00939999999999941
"9","9",166.180400716558,0.00198719368136691,155,0,"relative convergence (4)",0.0075333333333333
"10","RE",NA,NA,NA,NA,NA,NA
