"","phase","objFun","maxGrad","nPar","convCode","convMsg","time","pdHess"
"1","1",2627.01666936097,0.0034012401529957,11,0,"relative convergence (4)",0.100849999999999,FALSE
"2","2",2157.42100610511,0.00116372977988732,21,0,"relative convergence (4)",0.0746500000000045,FALSE
"3","3",2133.65474934392,0.00182371567637729,22,0,"relative convergence (4)",0.074066666666666,FALSE
"4","4",1484.85696084445,0.0197396184282634,198,0,"relative convergence (4)",0.193916666666663,FALSE
"5","5",1458.26922241489,0.00350704611136843,201,0,"relative convergence (4)",0.278633333333331,FALSE
"6","6",1428.0513797622,0.00296953065133001,204,0,"relative convergence (4)",0.342933333333334,FALSE
"7","7",1426.83801308567,0.00272648554278005,207,0,"relative convergence (4)",0.277766666666662,FALSE
"8","8",1399.91914402502,0.00536939505238221,211,0,"relative convergence (4)",0.370966666666671,FALSE
"9","9",1395.13684280982,0.00227599237573917,215,0,"relative convergence (4)",0.371600000000005,FALSE
"10","10",1253.34293581783,0.0460660075487102,218,0,"relative convergence (4)",0.396616666666667,FALSE
"11","11",1253.34293580264,0.00250058971966627,218,0,"relative convergence (4)",0.104049999999999,FALSE
"12","12",1253.34293580174,0.00119880637906988,218,0,"relative convergence (4)",0.0764333333333373,FALSE
"13","13",1249.81862012365,0.00255850582597805,219,0,"relative convergence (4)",0.400733333333339,FALSE
"14","RE",NA,NA,NA,NA,NA,NA,NA
