"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2252.05099836604,0.00110105225697055,14,0,"relative convergence (4)",0.0189500000000407
"2","2",2246.44877582377,0.0288672168399557,24,0,"relative convergence (4)",0.00873333333335419
"3","3",1919.24771026647,0.00254170311100665,91,0,"relative convergence (4)",0.0114166666666885
"4","4",1560.54688470148,0.00144930425953049,243,0,"relative convergence (4)",0.0166000000000471
"5","5",1542.25314599585,0.00235438631150942,246,0,"relative convergence (4)",0.0177999999999884
"6","6",1536.00214156594,0.0226970871117391,250,0,"relative convergence (4)",0.0213166666666439
"7","7",1527.52407471975,0.0017932377039962,253,0,"relative convergence (4)",0.0209000000000136
"8","8",1288.920243983,0.0067157227086021,256,0,"relative convergence (4)",0.0240166666667089
"9","9",1262.18079077208,0.024006081821458,260,0,"relative convergence (4)",0.0248999999999796
"10","10",1261.07233091431,0.0461468229381641,264,0,"relative convergence (4)",0.021783333333345
"11","RE",NA,NA,NA,NA,NA,NA
