"","Year","SurfaceWt","SSB","SSBdep","spawnIdx","scaledIdx","Catch","HR","SurplusProd","perCapSurplusProd"
"1",1951,1,NA,NA,NA,NA,NA,NA,NA,NA
"2",1952,1,0.878673404558795,0.215643181416962,0.096,0.342004175627183,2.756,0.758252446160165,4.47536021168128,5.09331474978291
"3",1953,1,2.59803361624007,0.637606910061811,0.204,0.726758873207765,NA,NA,1.41599991195771,0.545027555881658
"4",1954,1,4.01403352819778,0.985120245866055,2.027,7.22127566662813,NA,NA,0.736753894150079,0.183544529205979
"5",1955,1,4.75078742234786,1.16593367760482,NA,NA,0.498,0.0948790568045595,1.25727499709934,0.264645601944863
"6",1956,1,5.5100624194472,1.35227421675778,NA,NA,0.093,0.0165980660285372,-4.88979557087901,-0.887430159342838
"7",1957,1,0.527266848568188,0.129401322597254,NA,NA,6.681,0.926852479292866,6.24677135799738,11.8474570797703
"8",1958,1,0.0930382065655651,0.0228333471265141,NA,NA,10.873,0.991515786757896,12.7970752679794,137.546452585166
"9",1959,1,2.01711347454495,0.495038047894837,1.288,4.58855602299804,0.275,0.119976608075477,0.212376983241783,0.105287573516256
"10",1960,1,1.95449045778674,0.479669167382913,0.12,0.427505219533979,NA,NA,-0.511501973561816,-0.261706048000378
"11",1961,1,1.44298848422492,0.354136845239499,NA,NA,NA,NA,-0.234626358832643,-0.162597526867076
"12",1962,1,1.20836212539228,0.296555070031048,0.038,0.135376652852427,NA,NA,-0.124470260705594,-0.103007416477231
"13",1963,1,1.08389186468668,0.266007698423926,0.013,0.0463130654495144,NA,NA,0.878057870297834,0.810097297438109
"14",1964,1,1.96194973498452,0.481499816014879,NA,NA,NA,NA,-0.39015153086927,-0.198859085894139
"15",1965,1,1.57179820411525,0.385749202743964,0.271,0.96544928744757,13.392,0.894959943814066,12.6213844321906,8.02990129340111
"16",1966,1,0.801182636305826,0.196625471640136,0.038,0.135376652852427,0.697,0.465230328472263,1.31464038585607,1.64087478470296
"17",1967,1,1.4188230221619,0.348206180793934,0.086,0.306378740666018,NA,NA,0.569164167548612,0.401152334476051
"18",1968,1,1.98798718971051,0.48788990309841,NA,NA,0.08,0.0386849591709506,0.921994534059925,0.463782935238223
"19",1969,1,2.82998172377043,0.694531391412884,NA,NA,NA,NA,3.63083585782644,1.28298915407447
"20",1970,1,6.46081758159688,1.58560763375987,2.607,9.2875508943757,NA,NA,4.48387564295971,0.694010562336827
"21",1971,1,10.9446932245566,2.68603607931112,7.245,25.810627629364,0.102,0.00923353241794168,2.55887707683495,0.233800712759459
"22",1972,1,13.4015703013915,3.28900048730424,6.025,21.4643245641019,2.13,0.137140028900308,0.585338836014139,0.0436768843389465
"23",1973,1,11.8569091374057,2.9099112308354,1.511,5.38300322263202,5.219,0.305635264160987,-0.557955285834271,-0.0470573974522632
"24",1974,1,6.07995385157141,1.49213642363457,1.403,4.99824852505144,4.042,0.39933001664224,3.47576158619682,0.571675652652936
"25",1975,1,5.51371543776822,1.3531707369989,2.1,7.48134134184464,1.703,0.235979929468669,0.851707848084793,0.154470766164446
"26",1976,1,4.66242328585302,1.1442474362573,1.854,6.60495564179998,2.21617943306006,0.322184537125041,2.81337845854573,0.603415495774962
"27",1977,1,5.25962231133868,1.2908114464193,1.82,6.48382916293202,0.0496919218269247,0.00935938609858782,-0.307134457843452,-0.0583947743132301
"28",1978,1,4.90279593166831,1.20323945968749,2.291,8.16178714960289,0.0472378869153028,0.00954294225990144,0.0890120275402778,0.0181553604883549
"29",1979,1,4.94457007229328,1.21349162908125,3.522,12.5472781933223,0.107033660014737,0.0211880554545862,12.1381021121744,2.45483468425087
"30",1980,1,16.9756385244529,4.16614487135354,0.829,2.95334855828057,0.0621403624209467,0.00364721028683031,-2.93759827368485,-0.173047880906118
"31",1981,1,13.9758998883471,3.429951901869,3.629,12.9284703474068,1.14851077265754,0.0759375554129027,-3.08362424095521,-0.220638689858267
"32",1982,1,9.74376487473439,2.3913053993271,1.901,6.77239518611746,0.657228890488213,0.0631890476355984,-1.56355348037037,-0.160467078226063
"33",1983,1,7.52298250387581,1.84628312688548,3.591,12.7930936945543,0.126708651101674,0.0165638910819592,1.66567352072302,0.221411324546465
"34",1984,1,9.06194737349716,2.22397440427282,3.683,13.120847696197,0.054585557640958,0.0059875347408133,-0.612161130355686,-0.0675529337265885
"35",1985,1,8.39520068550051,2.06034207370169,1.988,7.08233647027959,0.0570873225233941,0.00675406735657849,-0.62811312070079,-0.0748181186169396
"36",1986,1,7.71000024227633,1.89218084028031,2.333,8.31141397643978,0.134961858615607,0.0172036342406629,-1.5667898519392,-0.203215279209461
"37",1987,1,6.00824853172152,1.47453857303761,1.89,6.73320720766017,0.0630508442031046,0.0103850659140824,0.713490501037692,0.118751828801805
"38",1988,0.00891859111607336,6.65868818855611,1.63416884771287,3.45651083212484,3.48578144201467,0.0664589200325108,0.00988215112017948,1.62819114470761,0.244521307891528
"39",1989,0.416260002336264,8.22042041323121,2.01744766746892,3.95626467893173,5.65652497211573,0.0647931491917209,0.0078203354329436,-0.534264471405078,-0.0649923537420483
"40",1990,0.0680422916924802,7.62136279263441,1.87042752268323,6.49122026014473,6.83867042868011,0.0676601194199859,0.00879957313092569,-2.30699135140156,-0.302700634279099
"41",1991,0.0985252828212932,5.24671132181286,1.28764284379386,2.86919633118684,3.09404754236334,0.07251293834543,0.0136322393640294,1.41656277873337,0.269990607801139
"42",1992,NA,6.5907611622008,1.61749826226957,3.017580873155,3.02362759141758,0.0532013648311996,0.00800747514976815,-2.12755321587355,-0.322808422807893
"43",1993,0.0460547871900796,4.41000658149605,1.08229957156956,1.58521810181341,1.64277265235756,0.0686256945431144,0.0153229134060111,-2.47518206860382,-0.561264937560283
"44",1994,NA,1.86619881834912,0.458000718193412,2.97314180221985,2.97909947215097,0.359486368558734,0.161517168139205,0.075639635535079,0.0405313918277966
"45",1995,0.684522695080193,1.58235208532546,0.388339326114786,0.157321284815291,0.310304034054084,NA,NA,0.51077997442549,0.322797927946884
"46",1996,NA,2.09313205975095,0.513694455924928,0.698226822677573,0.699625950342275,NA,NA,0.093455542719374,0.044648660500902
"47",1997,NA,2.18658760247032,0.536630225288716,1.24095611397516,1.24344277872844,0.009040096280668,0.00411731746953755,0.514351641320782,0.235230292506775
"48",1998,NA,2.69189914751044,0.660643298421259,3.90084727714156,3.90866391088287,0.109427693071709,0.0390628081973358,-0.408017495324424,-0.151572355785235
"49",1999,NA,2.17445395911431,0.533652398212244,0.837093692925865,0.83877108615351,0.0153152883484967,0.00699401928593249,-0.373372712868997,-0.171708723150468
"50",2000,NA,1.78576595789681,0.438260962980142,0.743377512878633,0.744867114838634,0.0990892771481982,0.0525712931719299,0.553384460767782,0.309886331028245
"51",2001,NA,2.2400611415164,0.549753649784885,1.33500714025502,1.33768226725077,0.0550792643715548,0.0239982112772946,-0.303861702809682,-0.135648843318618
"52",2002,NA,1.88112017433516,0.461662703020985,0.891773669782243,0.893560632373082,NA,NA,0.267508602671657,0.142207077634581
"53",2003,0.0504551264611389,2.14862877700682,0.527314406870481,1.17878986441168,1.22559710678746,0.0530071481748597,0.0240762551012995,0.765476266831486,0.356262689499042
"54",2004,0.413610777376219,2.86109789566344,0.702167892376396,1.63248675024215,2.32774643005038,0.0335066374425816,0.011575549288119,-0.747798623420247,-0.26136771641183
"55",2005,0.198295820834441,2.07979263480062,0.510420707089879,0.791581316814806,0.925001478004614,NA,NA,0.822004906037638,0.395234069148649
"56",2006,1,2.90179754083825,0.712156360130742,1.12313040227729,4.00120090992366,NA,NA,0.592269102201947,0.204104212601564
"57",2007,0.586423831183761,3.4940666430402,0.857510473264423,1.5523076773627,2.68864312533936,NA,NA,-1.40621089329881,-0.402456803764698
"58",2008,NA,2.08785574974139,0.51239954899967,1.04740035265485,1.04949916461942,NA,NA,1.1530635500808,0.552271654889772
"59",2009,0.240978581387559,3.2409192998222,0.795383295890491,1.04099281694481,1.26158652560368,NA,NA,-0.508161492869659,-0.156795478646302
"60",2010,0.0523179742498299,2.73275780695254,0.670670791304068,2.20885438813365,2.29975832007722,NA,NA,-0.375474469849244,-0.137397638712798
"61",2011,0.290663985287054,2.3572833371033,0.578522208225245,1.70627053936596,2.16118655798335,NA,NA,-0.258745177532494,-0.109764139702633
"62",2012,0.147767205689826,2.0985381595708,0.515021215740534,1.53807213710916,1.72428357712975,NA,NA,-0.0187371380813826,-0.00892866207646885
"63",2013,1,2.07980102148942,0.510422765342974,0.9152385017375,3.26057697176034,NA,NA,-0.21174448323186,-0.101809971744423
"64",2014,NA,1.86805653825756,0.458456638025696,0.7142381892216,0.71566940093858,NA,NA,-0.354514471605448,-0.189777163776919
"65",2015,NA,1.51354206665211,0.371452037546478,0.792241268288476,0.793828784894226,NA,NA,-0.171583919544545,-0.113365808143067
"66",2016,NA,1.34195814710757,0.329342077123632,0.36336974482642,0.364097875923637,NA,NA,0.0181502496201402,0.0135251979797291
"67",2017,NA,1.36010839672771,0.333796493919785,0.0535185167771138,0.0536257587720712,NA,NA,0.105451098077576,0.0775313925943561
"68",2018,NA,1.46555949480528,0.359676200936499,1.07263174443162,1.07478111580913,NA,NA,0.026944146600816,0.0183848876120828
"69",2019,0.601151479563477,1.4925036414061,0.366288807467458,0.684369876353544,1.20744212581313,NA,NA,NA,NA
