"","Year","SurfaceWt","SSB","SSBdep","spawnIdx","scaledIdx","Catch","HR","SurplusProd","perCapSurplusProd"
"1",1951,1,17.5631805745003,1.01285731195027,4.213,19.115146330883,2.847,0.139489211749402,0.898350670677248,0.0511496574818317
"2",1952,1,15.6145312451775,0.900479960179646,2.482,11.2612848785311,7.39,0.321241059912889,19.8780474224017,1.27304797757159
"3",1953,1,28.1025786675792,1.62065761194994,7.351,33.3528223779541,NA,NA,82.6469620146979,2.94090314601785
"4",1954,1,110.749540682277,6.3868546815513,10.381,47.1004828058144,1.786,0.0158705417788184,-6.19446813734618,-0.0559322241806594
"5",1955,1,102.769072544931,5.92662622398861,6.437,29.2058383412992,NA,NA,-82.964036709915,-0.807286031248778
"6",1956,1,19.8050358350159,1.14214366092991,6.042,27.4136515858521,77.369,0.796190045367249,65.3583052800493,3.30008518159275
"7",1957,1,7.79434111506519,0.449494632065126,1.592,7.22319320170085,14.658,0.652849514662179,17.4134952516937,2.23412024116269
"8",1958,1,10.5498363667589,0.608402268519897,0.815,3.69780305237826,0.274,0.0253144994728008,4.85349996428959,0.46005452554528
"9",1959,1,15.1293363310485,0.87249908197754,7.055,32.0098166067836,6.553,0.302227578243784,8.30591689599014,0.548994133929372
"10",1960,1,16.8822532270386,0.973588670381734,4.316,19.582476041797,NA,NA,11.6973958602033,0.692881199144008
"11",1961,1,28.5796490872419,1.64816995578885,7.805,35.4127028513035,0.576,0.0197560341831679,4.11765371983316,0.14407642680509
"12",1962,1,32.1213028070751,1.85241484476625,5.146,23.3483368190657,7.632,0.191984048144088,11.5703754002541,0.36020878324106
"13",1963,1,36.0596782073292,2.07953841754008,7.285,33.0533683884364,14.705,0.289669914580035,-13.3109480751375,-0.369136629523001
"14",1964,1,8.0437301321917,0.463876736060767,3.195,14.4962954016547,26.848,0.76946599948707,29.824656180463,3.70781412234383
"15",1965,1,11.0203863126547,0.635538580836266,0.939,4.26041357813888,19.031,0.63328193255384,16.7412374543004,1.51911529953141
"16",1966,1,8.7306237669551,0.503489449575329,2.787,12.6451252846359,2.049,0.190080845519043,0.952998788900698,0.109155864957524
"17",1967,1,7.6346225558558,0.440283765624211,0.62,2.8130526288031,0.161,0.0206526161119823,0.0465405423181013,0.00609598470357968
"18",1968,1,7.5201630981739,0.433682962418709,0.814,3.6932658707189,NA,NA,0.12692846376207,0.0168784190056851
"19",1969,1,7.64709156193597,0.441002845174039,2.075,9.41465194317165,NA,NA,0.711450907883007,0.0930354896526037
"20",1970,1,8.35854246981897,0.482031760812997,2.787,12.6451252846359,NA,NA,3.78282804317272,0.452570296416123
"21",1971,1,12.1413705129917,0.70018501768612,5.224,23.7022369884958,NA,NA,4.47044596515505,0.368199451649343
"22",1972,1,16.6118164781467,0.957992757251235,1.961,8.89741323400463,1.26,0.0705020668459023,7.13723283469766,0.429647946333074
"23",1973,1,22.4890493128444,1.29692898952459,3.426,15.5443843649668,2.231,0.0902506290244649,21.1035413025187,0.93839188170865
"24",1974,1,41.3615906153631,2.3852962913499,10.908,49.491577540297,2.277,0.0521785870691794,22.648392398916,0.547570634058343
"25",1975,1,61.7329830142791,3.56010137055106,5.197,23.579733083693,4.408,0.0666455168809384,-5.18897562426007,-0.0840551577275933
"26",1976,1,52.136007390019,3.00664996734946,10.396,47.1685405307048,9.47270777509087,0.15375597023415,-1.07263639774706,-0.0205738116791891
"27",1977,1,41.5906632171811,2.39850676075973,12.645,57.3726620826051,10.1010454469179,0.19540939365259,2.45469596629202,0.0590203612160238
"28",1978,1,33.9443137365552,1.95754671093689,14.093,63.9425011253581,9.63954773055511,0.221172411210728,4.30443532182137,0.126808730181687
"29",1979,1,28.6092013278214,1.64987421446959,10.31,46.7783429079999,8.08562910290069,0.2203479075388,110.8059174757,3.87308671102067
