"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",1633.24250558714,0.00108553026356528,11,0,"relative convergence (4)",0.017766666666527
"2","2",1631.24678922939,0.000642800765572105,21,0,"relative convergence (4)",0.0109666666675669
"3","3",1505.82091057549,8.98773959576715e-05,89,0,"relative convergence (4)",0.0126999999997982
"4","4",1185.58977502285,0.000426972591000663,242,0,"relative convergence (4)",0.0181833333335817
"5","5",1161.58598522461,0.000229145074705728,245,0,"relative convergence (4)",0.0201833333335041
"6","6",1147.97995875301,0.000847022187353552,249,0,"relative convergence (4)",0.0201500000005277
"7","7",1146.25787768875,0.00286125903654089,252,0,"relative convergence (4)",0.0198333333343423
"8","8",1146.25787768154,0.00191284224433685,252,0,"relative convergence (4)",0.010350000000714
"9","9",871.775017518322,0.00974981262471042,259,0,"relative convergence (4)",0.0293666666664649
"10","10",866.123801981881,0.00493063633589363,263,0,"relative convergence (4)",0.0252833333351494
"11","RE",NA,NA,NA,NA,NA,NA
