"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2575.13807225072,0.000606288105814201,13,0,"relative convergence (4)",0.0329333333332518
"2","2",2556.66378663936,0.015433286656318,23,0,"relative convergence (4)",0.01723333333357
"3","3",2194.07970651624,0.00601304508461098,91,0,"relative convergence (4)",0.0203333333333527
"4","4",1798.7731874804,0.00603773090626969,244,0,"relative convergence (4)",0.0302833333335002
"5","5",1777.72490337991,0.00517104856027117,247,0,"relative convergence (4)",0.0286833333331742
"6","6",1772.32140816457,0.00422002801031596,251,0,"relative convergence (4)",0.036250000000291
"7","7",1762.9647449199,0.0323857326786232,254,0,"relative convergence (4)",0.0335333333336166
"8","8",1505.2751211957,0.0106239065607845,257,0,"relative convergence (4)",0.0404333333334459
"9","9",1483.00006187051,0.0166654658455716,261,0,"relative convergence (4)",0.039016666666915
"10","10",1482.09794242035,0.0141797976489553,265,0,"relative convergence (4)",0.0349166666666861
"11","RE",NA,NA,NA,NA,NA,NA
