"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2168.7850164435,0.010572846792229,14,0,"relative convergence (4)",0.0424500000000383
"2","2",2160.91265864954,0.00848964975369881,24,0,"relative convergence (4)",0.0215833333333649
"3","3",1743.84369657089,0.00604925637551545,219,0,"relative convergence (4)",0.0320833333333212
"4","4",1426.01623857265,0.00400227935633879,372,0,"relative convergence (4)",0.0386166666666516
"5","5",1425.12696763747,0.00238545637180465,375,0,"relative convergence (4)",0.0340500000000247
"6","6",1391.60571817765,0.0291976622596546,379,0,"relative convergence (4)",0.0543833333333168
"7","7",1386.89053616997,0.0393360063988393,382,0,"relative convergence (4)",0.0473166666666657
"8","8",1262.46658249666,0.00361693496107227,385,0,"relative convergence (4)",0.0537500000000364
"9","9",1239.08274861285,0.00279986755856143,389,0,"relative convergence (4)",0.04983333333336
"10","10",1238.18996981042,0.0202239597463141,393,0,"relative convergence (4)",0.0467500000000049
"11","RE",NA,NA,NA,NA,NA,NA
