"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2271.16788160059,0.000971664561930652,14,0,"relative convergence (4)",0.04165
"2","2",2265.56335375139,0.00634783558904741,24,0,"relative convergence (4)",0.0163666666666667
"3","3",1945.4148044805,0.0041942335576195,92,0,"relative convergence (4)",0.01915
"4","4",1577.82358758356,0.000881237891981357,245,0,"relative convergence (4)",0.02655
"5","5",1559.23182250596,0.00317449806310321,248,0,"relative convergence (4)",0.0266833333333333
"6","6",1552.83708704239,0.0235760946139205,252,0,"relative convergence (4)",0.02915
"7","7",1544.16974106053,0.0158367807739186,255,0,"relative convergence (4)",0.02855
"8","8",1302.75490191269,0.00978996191786408,258,0,"relative convergence (4)",0.0351
"9","9",1275.53742552073,0.0229744370678748,262,0,"relative convergence (4)",0.0333333333333333
"10","10",1274.43621241412,0.0429251893109157,266,0,"relative convergence (4)",0.0274
"11","RE",NA,NA,NA,NA,NA,NA
